Error(cP),Viscosity(cP),molar ratio of DES (mol/mol),mole fraction of water (mol/mol),temperature (K),DOI
NG,22.5,0,0.362430635,333.15,10.1021/ie50501a040
NG,15.5,0,0.362430635,343.15,10.1021/ie50501a040
NG,11,0,0.362430635,353.15,10.1021/ie50501a040
NG,7.93,0,0.362430635,363.15,10.1021/ie50501a040
NG,6,0,0.362430635,373.15,10.1021/ie50501a040
NG,540,0,0.474470606,273.15,10.1021/ie50501a040
NG,223,0,0.474470606,283.15,10.1021/ie50501a040
NG,109,0,0.474470606,293.15,10.1021/ie50501a040
NG,58,0,0.474470606,303.15,10.1021/ie50501a040
NG,33.5,0,0.474470606,313.15,10.1021/ie50501a040
NG,21.2,0,0.474470606,323.15,10.1021/ie50501a040
NG,14.2,0,0.474470606,333.15,10.1021/ie50501a040
NG,10,0,0.474470606,343.15,10.1021/ie50501a040
NG,7.28,0,0.474470606,353.15,10.1021/ie50501a040
NG,5.52,0,0.474470606,363.15,10.1021/ie50501a040
NG,4.24,0,0.474470606,373.15,10.1021/ie50501a040
NG,116,0,0.561216406,283.15,10.1021/ie50501a040
NG,60.1,0,0.561216406,293.15,10.1021/ie50501a040
NG,33.9,0,0.561216406,303.15,10.1021/ie50501a040
NG,20.8,0,0.561216406,313.15,10.1021/ie50501a040
NG,13.6,0,0.561216406,323.15,10.1021/ie50501a040
NG,9.42,0,0.561216406,333.15,10.1021/ie50501a040
NG,6.94,0,0.561216406,343.15,10.1021/ie50501a040
NG,5.13,0,0.561216406,353.15,10.1021/ie50501a040
NG,4.03,0,0.561216406,363.15,10.1021/ie50501a040
NG,3.18,0,0.561216406,373.15,10.1021/ie50501a040
NG,132,0,0.630364844,273.15,10.1021/ie50501a040
NG,65.2,0,0.630364844,283.15,10.1021/ie50501a040
NG,35.5,0,0.630364844,293.15,10.1021/ie50501a040
NG,21.2,0,0.630364844,303.15,10.1021/ie50501a040
NG,13.6,0,0.630364844,313.15,10.1021/ie50501a040
NG,9.25,0,0.630364844,323.15,10.1021/ie50501a040
NG,6.61,0,0.630364844,333.15,10.1021/ie50501a040
NG,5.001,0,0.630364844,343.15,10.1021/ie50501a040
NG,3.8,0,0.630364844,353.15,10.1021/ie50501a040
NG,3,0,0.630364844,363.15,10.1021/ie50501a040
NG,2.43,0,0.630364844,373.15,10.1021/ie50501a040
NG,38.8,0,0.686777537,283.15,10.1021/ie50501a040
NG,22.5,0,0.686777537,293.15,10.1021/ie50501a040
NG,14.1,0,0.686777537,303.15,10.1021/ie50501a040
NG,9.4,0,0.686777537,313.15,10.1021/ie50501a040
NG,6.61,0,0.686777537,323.15,10.1021/ie50501a040
NG,4.86,0,0.686777537,333.15,10.1021/ie50501a040
NG,3.78,0,0.686777537,343.15,10.1021/ie50501a040
NG,2.9,0,0.686777537,353.15,10.1021/ie50501a040
NG,2.34,0,0.686777537,363.15,10.1021/ie50501a040
NG,1.93,0,0.686777537,373.15,10.1021/ie50501a040
NG,29.9,0,0.715899052,283.15,10.1021/ie50501a040
NG,17.7,0,0.715899052,293.15,10.1021/ie50501a040
NG,11.3,0,0.715899052,303.15,10.1021/ie50501a040
NG,7.73,0,0.715899052,313.15,10.1021/ie50501a040
NG,5.5,0,0.715899052,323.15,10.1021/ie50501a040
NG,4.09,0,0.715899052,333.15,10.1021/ie50501a040
NG,3.23,0,0.715899052,343.15,10.1021/ie50501a040
NG,2.5,0,0.715899052,353.15,10.1021/ie50501a040
NG,2.03,0,0.715899052,363.15,10.1021/ie50501a040
NG,1.68,0,0.715899052,373.15,10.1021/ie50501a040
NG,45.7,0,0.733676291,273.15,10.1021/ie50501a040
NG,25.3,0,0.733676291,283.15,10.1021/ie50501a040
NG,15.2,0,0.733676291,293.15,10.1021/ie50501a040
NG,9.85,0,0.733676291,303.15,10.1021/ie50501a040
NG,6.8,0,0.733676291,313.15,10.1021/ie50501a040
NG,4.89,0,0.733676291,323.15,10.1021/ie50501a040
NG,3.66,0,0.733676291,333.15,10.1021/ie50501a040
NG,2.91,0,0.733676291,343.15,10.1021/ie50501a040
NG,2.28,0,0.733676291,353.15,10.1021/ie50501a040
NG,1.86,0,0.733676291,363.15,10.1021/ie50501a040
NG,1.55,0,0.733676291,373.15,10.1021/ie50501a040
NG,17.4,0,0.773280712,283.15,10.1021/ie50501a040
NG,10.8,0,0.773280712,293.15,10.1021/ie50501a040
NG,7.19,0,0.773280712,303.15,10.1021/ie50501a040
NG,5.08,0,0.773280712,313.15,10.1021/ie50501a040
NG,3.76,0,0.773280712,323.15,10.1021/ie50501a040
NG,2.85,0,0.773280712,333.15,10.1021/ie50501a040
NG,2.29,0,0.773280712,343.15,10.1021/ie50501a040
NG,1.84,0,0.773280712,353.15,10.1021/ie50501a040
NG,1.52,0,0.773280712,363.15,10.1021/ie50501a040
NG,1.28,0,0.773280712,373.15,10.1021/ie50501a040
NG,9.01,0,0.836497411,283.15,10.1021/ie50501a040
NG,6,0,0.836497411,293.15,10.1021/ie50501a040
NG,4.21,0,0.836497411,303.15,10.1021/ie50501a040
NG,3.1,0,0.836497411,313.15,10.1021/ie50501a040
NG,2.37,0,0.836497411,323.15,10.1021/ie50501a040
NG,1.86,0,0.836497411,333.15,10.1021/ie50501a040
NG,1.53,0,0.836497411,343.15,10.1021/ie50501a040
NG,1.25,0,0.836497411,353.15,10.1021/ie50501a040
NG,1.05,0,0.836497411,363.15,10.1021/ie50501a040
NG,0.91,0,0.836497411,373.15,10.1021/ie50501a040
NG,5.37,0,0.88471515,283.15,10.1021/ie50501a040
NG,3.72,0,0.88471515,293.15,10.1021/ie50501a040
NG,2.72,0,0.88471515,303.15,10.1021/ie50501a040
NG,2.07,0,0.88471515,313.15,10.1021/ie50501a040
NG,1.62,0,0.88471515,323.15,10.1021/ie50501a040
NG,1.3,0,0.88471515,333.15,10.1021/ie50501a040
NG,1.09,0,0.88471515,343.15,10.1021/ie50501a040
NG,0.918,0,0.88471515,353.15,10.1021/ie50501a040
NG,0.763,0,0.88471515,363.15,10.1021/ie50501a040
NG,0.668,0,0.88471515,373.15,10.1021/ie50501a040
NG,3.49,0,0.922705867,283.15,10.1021/ie50501a040
NG,2.5,0,0.922705867,293.15,10.1021/ie50501a040
NG,1.87,0,0.922705867,303.15,10.1021/ie50501a040
NG,1.46,0,0.922705867,313.15,10.1021/ie50501a040
NG,1.16,0,0.922705867,323.15,10.1021/ie50501a040
NG,0.955,0,0.922705867,333.15,10.1021/ie50501a040
NG,0.816,0,0.922705867,343.15,10.1021/ie50501a040
NG,0.69,0,0.922705867,353.15,10.1021/ie50501a040
NG,2.41,0,0.953411326,283.15,10.1021/ie50501a040
NG,1.76,0,0.953411326,293.15,10.1021/ie50501a040
NG,1.35,0,0.953411326,303.15,10.1021/ie50501a040
NG,1.07,0,0.953411326,313.15,10.1021/ie50501a040
NG,0.879,0,0.953411326,323.15,10.1021/ie50501a040
NG,0.731,0,0.953411326,333.15,10.1021/ie50501a040
NG,0.635,0,0.953411326,343.15,10.1021/ie50501a040
NG,1.74,0,0.978743756,283.15,10.1021/ie50501a040
NG,1.31,0,0.978743756,293.15,10.1021/ie50501a040
NG,1.03,0,0.978743756,303.15,10.1021/ie50501a040
NG,0.826,0,0.978743756,313.15,10.1021/ie50501a040
NG,0.68,0,0.978743756,323.15,10.1021/ie50501a040
NG,0.575,0,0.978743756,333.15,10.1021/ie50501a040
NG,0.5,0,0.978743756,343.15,10.1021/ie50501a040
NG,1.792,0,1,273.15,10.1021/ie50501a040
NG,1.308,0,1,283.15,10.1021/ie50501a040
NG,1.005,0,1,293.15,10.1021/ie50501a040
NG,0.8007,0,1,303.15,10.1021/ie50501a040
NG,0.656,0,1,313.15,10.1021/ie50501a040
NG,0.5494,0,1,323.15,10.1021/ie50501a040
NG,0.4688,0,1,333.15,10.1021/ie50501a040
NG,0.4061,0,1,343.15,10.1021/ie50501a040
NG,0.3565,0,1,353.15,10.1021/ie50501a040
NG,0.3165,0,1,363.15,10.1021/ie50501a040
NG,0.2838,0,1,373.15,10.1021/ie50501a040
